date,year,month,day,air_temp_deg_C,precipitation_mm,windspeed,humidity,Rsolar,lat,long,alt
2/15/1957,1957,2,15,-0.997308939,0.494983027,3.379353998,88.55753997,3.665399272,55.98915651,12.87383517,62
2/16/1957,1957,2,16,-0.881935558,0.395258192,4.003452477,87.42157023,3.424121118,55.98915651,12.87383517,62
2/17/1957,1957,2,17,-0.954051894,1.039963336,3.608617814,89.03091107,3.175837739,55.98915651,12.87383517,62
2/18/1957,1957,2,18,-1.098282662,1.633193829,3.490169563,90.23125716,3.366973996,55.98915651,12.87383517,62
2/19/1957,1957,2,19,-1.476411469,0.425891663,3.647443825,89.54474187,3.680820815,55.98915651,12.87383517,62
2/20/1957,1957,2,20,-1.269823145,0.584805406,4.223960272,89.29646677,3.713931818,55.98915651,12.87383517,62
2/21/1957,1957,2,21,0.52000971,1.373194432,4.941467403,90.73601921,3.198445665,55.98915651,12.87383517,62
2/22/1957,1957,2,22,1.549289726,1.219477953,4.680780893,92.87343334,3.080703227,55.98915651,12.87383517,62
2/23/1957,1957,2,23,0.965547342,0.836196972,4.32003349,90.30210434,3.742063937,55.98915651,12.87383517,62
2/24/1957,1957,2,24,0.171059983,1.406599774,4.19365436,87.46224809,4.260550226,55.98915651,12.87383517,62
2/25/1957,1957,2,25,-1.047598426,0.600322704,4.303168967,82.17664505,4.904251116,55.98915651,12.87383517,62
2/26/1957,1957,2,26,-2.444656996,0.061405438,3.99409862,78.70958601,4.920011924,55.98915651,12.87383517,62
2/27/1957,1957,2,27,-3.058916064,0.007342551,3.563018023,76.98486752,5.622364826,55.98915651,12.87383517,62
2/28/1957,1957,2,28,-3.332137663,0.124061073,3.758488129,78.07387489,6.945178966,55.98915651,12.87383517,62
3/1/1957,1957,3,1,-2.339242162,0.613744927,4.615568856,83.07214017,6.673773994,55.98915651,12.87383517,62
3/2/1957,1957,3,2,-0.925762536,1.057669429,5.101217825,85.65900506,5.393583607,55.98915651,12.87383517,62
3/3/1957,1957,3,3,-1.49289751,0.671486053,4.22652602,83.79148864,5.23706406,55.98915651,12.87383517,62
3/4/1957,1957,3,4,-1.43559202,0.367161432,4.066424897,83.47997695,5.359629234,55.98915651,12.87383517,62
3/5/1957,1957,3,5,-0.663251355,0.956345411,5.396352607,84.39545562,4.891634136,55.98915651,12.87383517,62
3/6/1957,1957,3,6,-0.016346377,1.644000316,5.427021171,86.76111295,4.906961562,55.98915651,12.87383517,62
3/7/1957,1957,3,7,0.276477467,1.729524184,4.755880089,89.07399192,4.844595913,55.98915651,12.87383517,62
3/8/1957,1957,3,8,0.664932547,0.663391574,3.994066988,90.10144504,5.592358521,55.98915651,12.87383517,62
3/9/1957,1957,3,9,0.551285759,1.427780347,3.782562044,87.81691645,5.82236291,55.98915651,12.87383517,62
3/10/1957,1957,3,10,0.275609275,2.222737611,4.622074772,81.63695709,7.040504556,55.98915651,12.87383517,62
3/11/1957,1957,3,11,-0.3140972,0.769407128,6.240085785,77.74176422,7.681861109,55.98915651,12.87383517,62
3/12/1957,1957,3,12,-0.965267314,1.099957057,5.369984948,75.661831,8.32564075,55.98915651,12.87383517,62
3/13/1957,1957,3,13,-0.408560191,1.179423308,4.09994048,77.43741965,8.823596091,55.98915651,12.87383517,62
3/14/1957,1957,3,14,-0.104756821,0.463938159,2.826861536,81.90914819,8.074434635,55.98915651,12.87383517,62
3/15/1957,1957,3,15,0.876560133,0.492638004,2.667824193,85.10091006,7.684445062,55.98915651,12.87383517,62
3/16/1957,1957,3,16,1.833644061,1.475571734,2.729200042,86.61085464,7.083785222,55.98915651,12.87383517,62
3/17/1957,1957,3,17,2.86869983,2.808202932,4.389548572,88.1330262,6.680736388,55.98915651,12.87383517,62
3/18/1957,1957,3,18,3.63312107,3.002996715,5.571115767,87.04049518,7.008410268,55.98915651,12.87383517,62
3/19/1957,1957,3,19,3.811009024,2.331834871,4.993227013,83.9327624,7.898942092,55.98915651,12.87383517,62
3/20/1957,1957,3,20,3.708711512,0.999217592,3.932882264,82.55578694,8.847594514,55.98915651,12.87383517,62
3/21/1957,1957,3,21,4.11907808,1.335734452,3.262375626,84.44472029,8.569350419,55.98915651,12.87383517,62
3/22/1957,1957,3,22,2.929584583,1.284209769,4.130136181,87.5221391,8.205350925,55.98915651,12.87383517,62
3/23/1957,1957,3,23,2.240160386,1.184264926,5.706521747,84.09444244,8.46101911,55.98915651,12.87383517,62
3/24/1957,1957,3,24,2.468368804,2.316559523,5.532386185,80.78869184,9.123152718,55.98915651,12.87383517,62
3/25/1957,1957,3,25,3.070383661,2.62428414,4.501763427,79.2938233,9.636593442,55.98915651,12.87383517,62
3/26/1957,1957,3,26,3.29991012,1.592699998,3.418131262,82.02840281,9.256620498,55.98915651,12.87383517,62
3/27/1957,1957,3,27,2.890059523,1.864988985,3.135782734,82.69350261,8.905662609,55.98915651,12.87383517,62
3/28/1957,1957,3,28,2.331984985,1.482393859,3.345491695,81.91261974,9.421903138,55.98915651,12.87383517,62
3/29/1957,1957,3,29,2.071815387,1.128868546,4.369931543,82.352313,9.471788402,55.98915651,12.87383517,62
3/30/1957,1957,3,30,2.651144554,0.878135742,4.827865515,80.88171596,10.60896887,55.98915651,12.87383517,62
3/31/1957,1957,3,31,3.267305053,2.120183411,4.232969991,81.95542595,9.224797172,55.98915651,12.87383517,62
4/1/1957,1957,4,1,3.700577352,3.230297561,4.173332226,84.98619914,7.850932784,55.98915651,12.87383517,62
4/2/1957,1957,4,2,3.808864227,2.247343384,4.432281533,80.28631644,9.43934448,55.98915651,12.87383517,62
4/3/1957,1957,4,3,3.429035919,2.483134236,4.213359977,77.66377049,9.665862158,55.98915651,12.87383517,62
4/4/1957,1957,4,4,3.664812158,1.631079082,5.150809151,78.38542918,9.808863896,55.98915651,12.87383517,62
4/5/1957,1957,4,5,3.241082229,3.454908991,5.274538048,80.88728648,9.25608285,55.98915651,12.87383517,62
4/6/1957,1957,4,6,3.965884913,3.191313257,5.147810664,86.2096139,7.97394919,55.98915651,12.87383517,62
4/7/1957,1957,4,7,4.628829977,2.126658739,4.070043846,85.72105246,7.929223437,55.98915651,12.87383517,62
4/8/1957,1957,4,8,4.912461371,1.341135353,2.843622205,85.36590279,8.768591552,55.98915651,12.87383517,62
4/9/1957,1957,4,9,4.578941828,1.340670684,2.665903969,83.89141113,9.335918535,55.98915651,12.87383517,62
4/10/1957,1957,4,10,4.343380881,2.858150831,3.436270883,82.18962595,9.834470661,55.98915651,12.87383517,62
4/11/1957,1957,4,11,4.154965973,2.429498927,4.043395502,84.08277665,9.643736778,55.98915651,12.87383517,62
4/12/1957,1957,4,12,4.289198084,1.087781318,3.971887532,81.52305694,10.32391846,55.98915651,12.87383517,62
4/13/1957,1957,4,13,4.02160179,0.357939738,3.188168531,74.98258112,13.5825236,55.98915651,12.87383517,62
4/14/1957,1957,4,14,3.894055371,0.143841655,2.958017275,76.22765851,14.04767888,55.98915651,12.87383517,62
4/15/1957,1957,4,15,4.813845315,0.619428248,2.730926099,77.89666749,11.34218642,55.98915651,12.87383517,62
4/16/1957,1957,4,16,5.576946682,1.392856227,3.487699459,79.81509184,9.610576081,55.98915651,12.87383517,62
4/17/1957,1957,4,17,5.66843938,2.103092947,3.822203533,83.62394356,8.859028889,55.98915651,12.87383517,62
4/18/1957,1957,4,18,6.323522945,1.904189555,4.285621957,82.14321537,9.690445994,55.98915651,12.87383517,62
4/19/1957,1957,4,19,6.866533128,1.230744109,4.454921773,81.07239592,9.807022905,55.98915651,12.87383517,62
